Onset Eye Blocks,Onset Eye Painting,Onset Head Blocks,Onset Head Painting
-471.42204328216,-243.361344051447,-406.555689756225,NaN
-390.323636230784,-317.198839053493,-527.81177929762,-312.01676171747
-252.046291119068,-256.315363475966,-455.513047349433,-279.53057434453
-256.866467878767,-231.718327143549,-513.173368557077,-258.802864308531
-344.780737053428,-326.8541813088,-622.807925884714,-223.475
-239.771110913548,-157.569109684011,-389.401795681673,-524.693255900999
-264.874450356617,-286.45310842672,-556.94257168015,-583.891138736018
-221.247138532374,-237.879036350556,-558.271184351694,-287.100989583333
-361.44918125647,-283.717898400082,-711.327196577969,-382.04065514825
-332.005079215159,-225.917677799726,-432.735225583705,-328.503983109093
-242.524421998795,-245.345855346746,-533.22625989402,-396.023003041177
-382.575234181018,-357.105710689847,-420.896014225079,-552.924296266228
-376.808823921844,-300.50865466203,-564.34892142003,-417.354858249954
-353.979841326225,-309.396932003992,-500.935257528004,-355.467122911801
-316.234739519403,-251.461304098068,-760.136965115045,-563.055085369041
-249.787739225816,-194.462828970225,-429.86349091731,-182.265094776649
-282.550806728155,-177.918005663495,-549.54199822262,-254.631776117211
-472.047799851959,-603.089720470277,-548.386171736678,-274.717526889535
-454.074027190523,-374.041892341833,-823.558378361784,-761.15204435484
-308.876370202993,-287.099236396274,-441.594980910412,-312.364346528971
-306.299936703895,-223.029216380552,-545.503001923857,-287.01902825176
-245.593574383868,-330.573259448001,-701.100623376277,-380.799043149752
-201.057132440427,-232.915087678889,-633.616721541199,-508.939057628354
-456.631722708952,-363.903212755739,-760.65793095604,-485.244632186221
-333.154895098796,-238.458295125618,-418.683623489723,-182.882791830553
-256.775432551355,-278.991441600593,-507.892293552602,-315.593043130059
-260.740867153277,-208.162634166209,-563.237987129035,-490.156228659956
-443.167892189126,-255.573045016069,-307.510445434299,-558.740003115927
-350.336965710446,-331.717973046616,-574.312913321918,-488.798389270872
-282.949626221142,-223.035772712922,-501.292503156915,-396.332792748456
-293.322402922577,-196.321489799492,-479.973951807428,-360.37873104087
-322.578329808067,-263.458945344634,-601.793092081292,-323.783565000213
-223.012201222625,-183.932109889803,-351.001498118567,-220.039395976656
-301.796309987743,-291.583364649411,-545.556592679906,-371.227723392895
-302.632596667395,-309.121846949241,-413.277190185637,-313.44069570823
-287.055896486336,-214.347457730929,-418.411084153548,-418.025225625045
-231.142514422039,-347.714469520647,-531.858516974284,-493.498435601845
-370.654360326482,-338.243697748492,-665.915135766899,-457.537328493135
-315.123419491032,-367.129763437761,-494.695692426611,-395.13092704978
-300.122540239058,-335.232366770227,-551.46160067053,-276.37022795924
-339.782671242043,-304.222143463036,-617.411304217847,-448.813436972989
-252.844913646844,-273.521183516726,-440.452432614359,-377.400206682345
-290.453697372678,-389.003723702032,-1042.43559761632,-762.452728903914
-332.861576724856,-344.317102003671,-516.737643245907,-274.588786256821
-220.299129943882,-195.716344696797,-668.607936585988,-300.828320635906
-342.108230127097,-354.669385716648,-568.938357209448,-329.609552999351
-345.388456879215,-255.327009261181,-437.728230859669,-250.39528586246
-267.219184834527,-306.362557477646,-573.348976891881,-403.833991068424
-260.786324079998,-319.269217894169,-399.538921781495,-494.485594552121
-265.096318991547,-214.865920337901,-342.085051093574,-258.774171882155
-239.211747671316,-219.612910479454,-590.648101558219,-432.926091999507
-152.146758775872,-169.194212156598,-261.246465530986,-306.506557893333
-282.32213924211,-338.967404614746,-323.587484252888,-578.491238155847
-265.187235647019,-219.543053238488,-399.733122923124,-349.795405340593
-267.481858652532,-239.899737015839,-573.886655048038,-315.678234196963
-306.879917052604,-216.381951100929,-317.216859566826,-303.709877791871
-239.507021028528,-217.573638576531,-675.346861272819,-482.593256714574
-192.800000778201,-320.065605852409,-552.301143011188,-231.877397660819
-310.338417336906,-252.738913279556,-557.331484210655,-521.739065490139
-326.461803397798,-233.739022762309,-687.634799579178,-309.349936413031
-358.940658450221,-340.780076728978,-752.487038081492,-659.859955021277
-329.091661229599,-293.018418361887,-588.262047191108,-649.50509583937
-300.870213955851,-232.322725405938,-329.774014575158,-374.159701285086
-373.599578571447,-196.016399022699,-602.188795318736,-199.407085387235
-245.532310880103,-242.847022819585,-415.365222798825,-347.454986686883
-334.908631613759,-221.758056186144,-673.979117414841,-354.41703454601
-269.970366698572,-256.89595830511,-618.537484098436,-406.697873218447
-168.107035948369,-220.684538200199,-223.299193653246,-269.323023790903
-274.042145528219,-245.109058168567,-688.51310748441,-424.041694141414
-305.775268742744,-251.293945066707,-476.344988813812,-267.66524365383
-268.011587782901,-237.571980276181,-297.418144798528,-343.920204194347
-294.532625534735,-216.64144745661,-516.897864042223,-416.532254529352
-357.505989553137,-275.342955679025,-694.841915605675,-454.535543167759
-261.104730217968,-200.146838327757,-494.72586679167,-263.389728068947
-391.617027239004,-219.232114392636,-466.906851761776,-308.064235892439
-347.256951060574,-176.621825743452,-694.386855469352,-536.556865620145
-253.953083539164,-293.475414482417,NaN,-333.33756491633
-334.369860544454,-308.751009772933,-627.490940160463,-469.657049024362
-261.230622823908,-209.53116792418,-588.241023379695,-395.988657312439
-300.819410628631,-252.932623820028,-402.100946942082,-252.584057380902
-238.400942527152,-187.156552337022,-488.897678835771,-331.007972991858
